IDELE;CARTA IDENTITA' ELETTRONICA
IDENT;CARTA DI IDENTITA'
ACMIL;TESS. APP.TO AG.CUSTODIA
ACSOT;TESS. SOTT.LI AG.CUSTODIA
ACUFF;TESS. UFF.LI AG.CUSTODIA
AMMIL;TESS. MILITARE TRUPPA A.M
AMSOT;TESS. SOTTUFFICIALI A.M.
AMUFF;TESS. UFFICIALI A.M.
CCMIL;TESS. APP.TO CARABINIERI
CCSOT;TESS. SOTTUFFICIALI CC
CCUFF;TESS. UFFICIALE
CERID;CERTIFICATO D'IDENTITA'
CFMIL;TESS. AG. E AG.SC. C.F.S.
CFSOT;TESS. SOTTUFICIALI C.F.S.
CFUFF;TESS. UFFICIALI C.F.S.
CIDIP;CARTA ID. DIPLOMATICA
DESIS;TESS. S.I.S.D.E.
EIMIL;TESS. MILITARE E.I.
EISOT;TESS. SOTTUFFICIALI E.I.
EIUFF;TESS. UFFICIALI E.I.
GFMIL;TESS. APP.TO FINANZIERE
GFSOT;TESS. SOTT.LI G.D.F.
GFTRI;TESS. POL. TRIB. G.D.F.
GFUFF;TESS. UFFICIALI G.D.F.
MAGIS;TESS. PERS. MAGISTRATI
MMMIL;TESS. MILIT. M.M.
MMSOT;TESS. SOTTUFICIALI M.M.
MMUFF;TESS. UFFICIALI M.M.
PARLA;TESS. PARLAMENTARI
PASDI;PASSAPORTO DIPLOMATICO
PASOR;PASSAPORTO ORDINARIO
PASSE;PASSAPORTO DI SERVIZIO
PATEN;PATENTE DI GUIDA
PATNA;PATENTE NAUTICA
PORM1;PORTO FUCILE USO CACCIA
PORM2;PORTO FUCILE DIF. PERSON.
PORM3;PORTO D'ARMI USO SPORTIVO
PORM4;PORTO PISTOLA DIF. PERSON
PORM5;PORTO D'ARMI GUARDIE GIUR
PPAGE;TESS. AGENTI/ASS.TI P.P.
PPISP;TESS. ISPETTORI P.P.
PPSOV;TESS. SOVRINTENDENTI P.P.
PPUFF;TESS. UFFICIALI P.P.
PSAPP;TESS. AGENTI/ASS.TI P.S.
PSFEM;TESS. POLIZIA FEMMINILE
PSFUN;TESS. FUNZIONARI P.S.
PSISP;TESS. ISPETTORI P.S.
PSSOT;TESS. SOVRINTENDENTI P.S.
PSUFF;TESS. UFFICIALI P.S.
RIFUG;TITOLO VIAGGIO RIF.POLIT.
SDMIL;TESS. MILIT. TRUPPA SISMI
SDSOT;TESS. SOTTUFFICIALI SISMI
SDUFF;TESS. UFFICIALI SISMI
TEAMC;TESS. ISCR. ALBO MED/CHI.
TEAOD;TESS. ISCRIZ. ALBO ODONT.
TECAM;TES. UNICO PER LA CAMERA
TECOC;TESS. CORTE DEI CONTI
TEDOG;TES.DOGANALE RIL.MIN.FIN.
TEFSE;TESS. FERROV. SENATO
TEMPI;TESS. MIN.PUBB.ISTRUZIONE
TENAT;TESS. MILITARE NATO
TENAV;TES. ENTE NAZ. ASSIS.VOLO
TEPOL;TESS.MIN.POLIT.AGRIC.FOR.
TESAE;TESS. MIN. AFFARI ESTERI
TESAR;TESS.ISCR.ALBO ARCHITETTI
TESAV;TESSERA ISCR. ALBO AVVOC.
TESCA;TESS. CORTE D'APPELLO
TESCS;TESS. CONSIGLIO DI STATO
TESDI;TESSERA RICONOSC. D.I.A.
TESEA;TESS. MEMBRO EQUIP. AEREO
TESIN;TESS.ISCR. ALBO INGEGNERI
TESLP;TESS. MINISTERO LAVORI PU
TESMB;TESS. MIN.BEN.E ATT.CULT.
TESMD;TESS. MINISTERO DIFESA
TESMF;TESS. MINISTERO FINANZE
TESMG;TESS. MINISTERO GIUSTIZIA
TESMI;TESS. MINISTERO INTERNO
TESMN;TESS. MINIST. TRASP/NAVIG
TESMS;TESS. MINISTERO SANITA'
TESMT;TESS. MINISTERO TESORO
TESNO;TESSERA DELL'ORDINE NOTAI
TESOG;TESS. ORDINE GIORNALISTI
TESPC;TESS. PRES.ZA CONS. MIN.
TESPI;TESS. PUBBLICA ISTRUZIONE
TESPT;TES. POSTE E TELECOMUNIC.
TESUN;TESSERA U.N.U.C.I.
TETEL;TESS. IDENTIF.TELECOM IT.
TFERD;TES. FERROVIARIA DEPUTATI
TFEXD;TES. FERROV. EX DEPUTATI
VIMIL;TESS. APP.TO/VIG. URBANO
VISOT;TESS. SOTT.LI VIG. URBANI
VIUFF;TESS. UFF.LI VIG.URBANI
VVMIL;TESS. APP.TO/VIG. VV.FF.
VVSOT;TESS. SOTTUFF.LI VV.FF.
VVUFF;TESS. UFFICIALI VV.FF.